      1.25     17.48         1
      1.99     46.07        -1
      4.49     65.95         1
      5.23     85.81        -1
      7.73     92.59         1
      8.47     72.88        -1
     10.97     94.87         1
     11.71     97.36        -1
     14.21    104.86         1
     14.95    109.55        -1
     17.45    118.33         1
     18.19    110.64        -1
     21.43    123.53        -1
     24.67    105.58        -1
     27.17    106.27         1
     37.63    141.60        -1
     40.87    141.28        -1
