      0.64     59.82         1
      2.62     79.04         1
      3.32     11.12        -1
      4.60    104.78         1
      5.30     56.12        -1
      6.58    133.31         1
      7.28     89.07        -1
      8.56    147.45         1
      9.26    112.99        -1
     10.54    157.62         1
     11.24    132.69        -1
     12.52    164.15         1
     13.22    159.67        -1
     14.50    161.54         1
     15.20    163.30        -1
     17.18    166.67        -1
     18.46    175.35         1
     19.16    176.34        -1
     20.44    173.48         1
     21.14    163.81        -1
     22.42    180.33         1
     23.12    167.04        -1
     24.40    173.78         1
     25.10    179.37        -1
     26.38    173.99         1
     27.08    184.83        -1
     28.36    185.75         1
     29.06    197.03        -1
     30.34    181.25         1
     31.04    196.59        -1
     32.32    187.44         1
     33.02    191.72        -1
     34.30    192.12         1
     35.00    192.52        -1
     36.28    188.82         1
     36.98    206.99        -1
     38.26    178.46         1
     38.96    198.60        -1
     40.24    195.16         1
     40.94    200.36        -1
     42.22    194.72         1
     42.92    208.60        -1
     44.20    193.03         1
     44.90    183.81        -1
     46.18    201.61         1
     48.16    211.06         1
     50.14    211.93         1
     52.12    210.39         1
     54.10    211.09         1
     54.80    197.57        -1
     56.08    210.80         1
     56.78    211.01        -1
     58.06    222.22         1
     58.76    208.45        -1
     60.04    212.29         1
     62.02    213.94         1
     62.72    203.43        -1
     64.00    211.09         1
     64.70    212.37        -1
     66.68    194.21        -1
     67.96    203.54         1
     73.90    205.92         1
     75.88    203.84         1
     77.86    208.20         1
     80.54    210.83        -1
     84.50    190.98        -1
     86.48    183.37        -1
     88.46    187.03        -1
     92.42    187.51        -1
     94.40    200.40        -1
     96.38    202.81        -1
    108.26    180.58        -1
    110.24    184.87        -1
    112.22    193.14        -1
    114.20    200.36        -1
    116.18    206.07        -1
    120.14    210.69        -1
