      4.30      1.01        -1
      5.60      3.60         1
      6.28      7.33        -1
      7.58      4.31         1
      8.26     15.74        -1
      9.56     13.43         1
     10.24      7.62        -1
     11.54     21.27         1
     12.22     21.35        -1
     13.52     37.49         1
     15.50     19.00         1
     18.16     30.57        -1
     20.14     22.37        -1
     21.44     41.64         1
     22.12     36.82        -1
     23.42     46.11         1
     24.10     42.70        -1
     25.40     57.15         1
     26.08     30.50        -1
     28.06     69.78        -1
     30.04     75.71        -1
     31.34     62.97         1
     32.02     60.52        -1
     33.32     65.27         1
     34.00     58.71        -1
     37.28     96.39         1
     37.96    107.99        -1
     39.26     93.98         1
     39.94    104.80        -1
     41.24     94.04         1
     43.22    108.67         1
     45.20    102.74         1
     47.18    106.29         1
     49.16    105.44         1
     51.14    108.13         1
     53.12    110.83         1
     61.04    108.70         1
     61.72    119.31        -1
     63.02    109.37         1
     63.70    129.42        -1
     65.00    119.42         1
     65.68    123.08        -1
     67.66    109.91        -1
     69.64    106.29        -1
     71.62    121.48        -1
     72.92     89.12         1
     73.60    139.43        -1
     74.90    113.67         1
