      1.16     11.94         1
      2.08     12.65        -1
      4.40     23.85         1
      5.32     25.66        -1
      7.64     30.02         1
      8.56     46.73        -1
     10.88     55.04         1
     11.80     63.23        -1
     14.12     77.49         1
     15.04     91.38        -1
     17.36     99.59         1
     18.28    105.80        -1
     20.60    108.36         1
     21.52    118.81        -1
     23.84    121.26         1
     24.76    127.08        -1
     27.08    117.43         1
     28.00    128.95        -1
     31.24    130.86        -1
     34.48    143.58        -1
