66 972 11
121 1116 20
185 1116 34
240 1326 39
96 1326 39
433 1356 30
278 1380 52
250 1440 52
273 1482 23
290 1512 24
276 1524 26
221 1530 15
318 1932 22
270 2052 12
215 2310 10
247 2478 10
262 2490 30
277 2592 10
248 2844 13
285 2850 29
267 3024 11
237 3084 24
242 3084 24
247 3096 24
275 3126 11
284 3126 16
270 3132 10
264 3150 16
321 3150 24
265 3168 23
218 3168 23
341 3222 68
172 3234 19
309 3246 27
265 3294 17
248 3372 13
275 3408 21
232 3414 14
238 3420 10
266 3654 11
280 3858 12
340 3858 25
235 3864 10
303 3876 31
282 3930 21
221 4008 13
224 4008 12
256 4020 12
252 4038 10
258 4194 10
273 4212 10
278 4260 11
253 4290 11
232 4398 18
208 4542 12
224 4764 20
202 5460 12
224 5478 11
206 5532 11
215 5604 10
203 5754 10
198 6030 10
282 6162 13
214 6174 13
212 6696 12
219 6816 10
267 7206 10
