      1.16     25.75        -1
      2.08     70.77         1
      4.40     83.69        -1
      5.32    112.40         1
      7.64    120.38        -1
      8.56    133.00         1
     10.88    137.39        -1
     11.80    139.02         1
     14.12    155.04        -1
     15.04    154.03         1
     17.36    153.94        -1
     18.28    168.04         1
     20.60    153.55        -1
     21.52    152.79         1
     24.76    148.15         1
     28.00    151.84         1
     31.24    172.79         1
     33.56    146.61        -1
     34.48    186.39         1
     40.04    167.05        -1
     43.28    162.22        -1
     46.52    177.97        -1
