      0.26     24.12        -1
      1.72      1.48         1
      4.22     11.74        -1
      6.20     11.25        -1
      7.66     18.49         1
      8.18     45.91        -1
      9.64     43.06         1
     10.16     48.30        -1
     11.62     69.60         1
     12.14    161.73        -1
     19.54     89.57         1
     21.52    130.98         1
     23.50    114.90         1
     25.48    108.58         1
     26.00    180.40        -1
     27.46    127.36         1
     27.98    169.93        -1
     29.44    161.52         1
     29.96    153.26        -1
     35.90    146.48        -1
     39.34    179.41         1
     41.32    186.72         1
     43.30    188.94         1
     43.82    201.21        -1
     45.80    189.82        -1
     47.78    203.67        -1
     49.24    227.15         1
     49.76    237.27        -1
     51.22    233.97         1
     51.74    238.36        -1
     53.20    238.08         1
     53.72    222.06        -1
     55.18    252.60         1
     55.70    241.35        -1
     57.16    247.68         1
     59.14    237.97         1
     59.66    200.90        -1
     61.12    242.75         1
     63.10    261.88         1
     71.02    230.91         1
     73.00    242.97         1
     74.98    229.68         1
     76.96    220.99         1
     78.94    228.48         1
     80.92    255.27         1
     82.90    240.02         1
     83.42    244.77        -1
